arrival_mode,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,median,metric,n,offered_load_rps,policy_id,regime,resamples,resampling_unit,std
poisson,318.6681424628321,97.05940601351863,,piecewise,E1,E1-33a71da3b08d,182.5217283202606,115.53527283891617,ttft_p50_ms,5,16,chunk_128,mixed,2000,workload_seed,153.29104583787145
poisson,1202.058168412354,489.33548844159367,,piecewise,E1,E1-33a71da3b08d,772.7112009545208,647.912531827983,ttft_p95_ms,5,16,chunk_128,mixed,2000,workload_seed,485.39402002681055
poisson,1402.827095959035,585.0647263721111,,piecewise,E1,E1-33a71da3b08d,906.8990691596485,740.9933830691051,ttft_p99_ms,5,16,chunk_128,mixed,2000,workload_seed,558.7708733632671
poisson,3.9363628333676166,3.7984010451345163,,piecewise,E1,E1-33a71da3b08d,3.8673819392510667,3.8933620434776843,tpot_p95_ms,5,16,chunk_128,mixed,2000,workload_seed,0.09025722552409557
poisson,4.007217583541208,3.8866065401087924,,piecewise,E1,E1-33a71da3b08d,3.9465503487405806,3.954607250221743,tpot_p99_ms,5,16,chunk_128,mixed,2000,workload_seed,0.07855446503692047
poisson,1842.8440056844338,1199.4592315256807,,piecewise,E1,E1-33a71da3b08d,1454.920524886913,1334.3292321786457,e2e_p95_ms,5,16,chunk_128,mixed,2000,workload_seed,430.5928377866916
poisson,4.089104985000449,3.9490464799997427,,piecewise,E1,E1-33a71da3b08d,4.013366275000044,4.000066849999712,itl_p95_ms,5,16,chunk_128,mixed,2000,workload_seed,0.08935394875778789
poisson,4.187746293999807,4.033384377999828,,piecewise,E1,E1-33a71da3b08d,4.096792223999764,4.060468050000054,itl_p99_ms,5,16,chunk_128,mixed,2000,workload_seed,0.10172809098088008
poisson,17.391356393741653,15.792617967570115,,piecewise,E1,E1-33a71da3b08d,16.591987180655885,17.269525018133987,request_throughput_rps,5,16,chunk_128,mixed,2000,workload_seed,1.076523013844578
poisson,2245.253039273127,1882.9057136038973,,piecewise,E1,E1-33a71da3b08d,2057.4725343590962,2078.0157232014153,output_token_throughput_tps,5,16,chunk_128,mixed,2000,workload_seed,229.14304723442834
poisson,17.16293154557379,15.766621452459464,,piecewise,E1,E1-33a71da3b08d,16.46477649901663,16.99537385598837,observed_request_throughput_rps,5,16,chunk_128,mixed,2000,workload_seed,0.9492066221314882
poisson,0.7374989267284546,0.6266262395494251,,piecewise,E1,E1-33a71da3b08d,0.6854560996087431,0.6882707368803447,iteration_cv,5,16,chunk_128,mixed,2000,workload_seed,0.07057920202534913
poisson,1416.4704204563202,606.0570211890397,,piecewise,E1,E1-33a71da3b08d,928.5238804214152,761.6757402465137,max_wait_ms,5,16,chunk_128,mixed,2000,workload_seed,542.2511370995072
poisson,44.4,0.0,,piecewise,E1,E1-33a71da3b08d,14.8,0.0,starvation_proxy_count,5,16,chunk_128,mixed,2000,workload_seed,33.09380606699689
poisson,0.9872070494120877,0.9412308698005487,,piecewise,E1,E1-33a71da3b08d,0.97066585650311,0.9848331017516249,waiting_satisfaction_jain,5,16,chunk_128,mixed,2000,workload_seed,0.032308489782713855
poisson,1114.5900407657086,395.3070371989317,,piecewise,E1,E1-33a71da3b08d,670.99684705054,442.54601624175496,short_prompt_ttft_p95_ms,5,16,chunk_128,mixed,2000,workload_seed,484.711014976725
poisson,1299.6078689619328,517.3513474955804,,piecewise,E1,E1-33a71da3b08d,824.1489692385721,613.5472404867378,long_prompt_ttft_p95_ms,5,16,chunk_128,mixed,2000,workload_seed,528.3271903628031
