arrival_mode,baseline_mean,baseline_policy,candidate_mean,ci95_high,ci95_low,concurrency,cost_id,experiment_id,group_id,mean,mean_delta,median,metric,n,offered_load_rps,paired_dz,policy_id,regime,relative_change_pct,relative_ci95_high,relative_ci95_low,resamples,resampling_unit,std
poisson,13.154016130318336,mono,182.5217283202606,305.54425338557604,84.3520076551118,,piecewise,E1,E1-33a71da3b08d,169.36771218994227,169.36771218994227,103.00918185656974,ttft_p50_ms,5,16,1.1078140226781994,chunk_128,mixed,1287.5741561512245,2321.208620474483,665.7771083700931,2000,workload_seed,152.88460763521192
poisson,92.35158865211201,mono,772.7112009545208,1106.4294521835998,399.30884522472627,,piecewise,E1,E1-33a71da3b08d,680.3596123024088,680.3596123024088,557.4664449957977,ttft_p95_ms,5,16,1.4119824001211876,chunk_128,mixed,736.7059107833219,1157.005443361701,443.54518946443574,2000,workload_seed,481.84709118471653
poisson,136.7328619376977,mono,906.8990691596485,1266.7075950882997,463.3487074425839,,piecewise,E1,E1-33a71da3b08d,770.1662072219509,770.1662072219509,602.0052492616555,ttft_p99_ms,5,16,1.3782414087702737,chunk_128,mixed,563.2634293670214,976.4517107232538,357.3386879760818,2000,workload_seed,558.8035610605593
poisson,3.590805611196398,mono,3.8673819392510667,0.6928143718133354,-0.18160243265993198,,piecewise,E1,E1-33a71da3b08d,0.27657632805466836,0.27657632805466836,0.2449965836592236,tpot_p95_ms,5,16,0.47320958268593294,chunk_128,mixed,7.702347550986421,21.895911833490068,-4.432234133140989,2000,workload_seed,0.5844689925441151
poisson,8.334865911912598,mono,3.9465503487405806,-1.5072601536384609,-8.449406863618702,,piecewise,E1,E1-33a71da3b08d,-4.388315563172018,-4.388315563172018,-3.0201414357643115,tpot_p99_ms,5,16,-0.9410213628786334,chunk_128,mixed,-52.65010390749085,-27.67516199583493,-68.38569074264322,2000,workload_seed,4.663353815632763
poisson,626.2676285377613,mono,1454.920524886913,1155.955292908069,609.7820406813757,,piecewise,E1,E1-33a71da3b08d,828.6528963491515,828.6528963491515,747.7405440969824,e2e_p95_ms,5,16,2.2990307598316204,chunk_128,mixed,132.31609915459447,168.28858465817035,99.81632323143849,2000,workload_seed,360.4357587672475
poisson,1.3670609999999215,mono,4.013366275000044,2.7248980099997424,2.567630745000315,,piecewise,E1,E1-33a71da3b08d,2.6463052750001226,2.6463052750001226,2.6829274000001533,itl_p95_ms,5,16,24.888168937575415,chunk_128,mixed,193.5762394655596,214.50940924651687,174.95407081616904,2000,workload_seed,0.10632784121795355
poisson,13.741670277500072,mono,4.096792223999764,-6.018428737500636,-15.196263687500306,,piecewise,E1,E1-33a71da3b08d,-9.644878053500307,-9.644878053500307,-7.843867379999938,itl_p99_ms,5,16,-1.5494574244566894,chunk_128,mixed,-70.18708685866486,-59.70982934691247,-78.36899294234449,2000,workload_seed,6.2246809116954225
poisson,16.740390610678617,mono,16.591987180655885,-0.004995252115469739,-0.31348016629653336,,piecewise,E1,E1-33a71da3b08d,-0.1484034300227343,-0.1484034300227343,-0.007460053232385633,request_throughput_rps,5,16,-0.7428712090416817,chunk_128,mixed,-0.8864992070619082,-0.03069085609574973,-1.8043716947304889,2000,workload_seed,0.19977006541171194
poisson,2076.4435418947305,mono,2057.4725343590962,-0.5948300912470131,-38.905520942551675,,piecewise,E1,E1-33a71da3b08d,-18.971007535634136,-18.971007535634136,-0.8883000104801795,output_token_throughput_tps,5,16,-0.7503432383702822,chunk_128,mixed,-0.9136298268106802,-0.030134921978075546,-1.7868963348379285,2000,workload_seed,25.28310587143887
poisson,16.788215692507457,mono,16.46477649901663,-0.03978031965217532,-0.7242372979303632,,piecewise,E1,E1-33a71da3b08d,-0.3234391934908313,-0.3234391934908313,-0.06852703445178321,observed_request_throughput_rps,5,16,-0.7230368904474265,chunk_128,mixed,-1.9265846913986029,-0.24513657157332336,-4.141713832908759,2000,workload_seed,0.44733428925138535
poisson,3.3480350516848327,mono,0.6854560996087431,-2.492079954973158,-2.8516815197180505,,piecewise,E1,E1-33a71da3b08d,-2.6625789520760894,-2.6625789520760894,-2.6860054956720036,iteration_cv,5,16,-11.301425475456112,chunk_128,mixed,-79.52661519287855,-77.23333177906646,-81.83563285956265,2000,workload_seed,0.2355967358151898
