actual_arrivals_sha256,arrival_mode,arrival_window_ms,backlog_at_arrival_end,batch_slot_occupancy,busy_time_ms,chunk_size,concurrency,cost_id,cost_source_kind,created_utc,decode_descheduled_count,decode_descheduled_mean_ms,decode_descheduled_p50_ms,decode_descheduled_p95_ms,decode_descheduled_p99_ms,decode_elapsed_count,decode_elapsed_mean_ms,decode_elapsed_p50_ms,decode_elapsed_p95_ms,decode_elapsed_p99_ms,decode_service_count,decode_service_mean_ms,decode_service_p50_ms,decode_service_p95_ms,decode_service_p99_ms,drain_time_ms,e2e_count,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,early_ttft_p95_ms,experiment_id,git_commit,git_dirty,group_id,input_token_throughput_tps,input_tokens,iteration_cv,iteration_mean_ms,iteration_std_ms,iterations,itl_count,itl_mean_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,late_ttft_p95_ms,long_prompt_count,long_prompt_ttft_p95_ms,max_queue_depth,max_reserved_kv_tokens,max_resident_requests,max_wait_ms,observed_output_throughput_tps,observed_request_throughput_rps,offered_load_rps,output_token_throughput_tps,output_tokens,platform,policy_id,policy_name,prefill_order,prefill_wait_count,prefill_wait_mean_ms,prefill_wait_p50_ms,prefill_wait_p95_ms,prefill_wait_p99_ms,primer_max_itl_ms,priority,processed_token_throughput_tps,processed_tokens,python_version,regime,request_throughput_rps,requests,result_kind,run_id,seed,server_busy_fraction,short_prompt_count,short_prompt_ttft_p95_ms,source_sha256,starvation_proxy_count,total_token_throughput_tps,tpot_count,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,tpot_undefined_requests,ttft_count,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,unfinished_requests,waiting_satisfaction_jain,wall_time_ms,workload_sha256
fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d,poisson,16168.794621086943,10,0.03125,16314.348,0,,analytical,synthetic,2026-09-09T03:26:14.216691+00:00,256,3.1628414297324436e-11,1.7323031897831243e-11,1.2253664749550808e-10,1.6399326341343112e-10,256,40.710617187529486,24.70950000002449,144.86550000014358,165.0530000001636,256,40.71061718749991,24.709500000000023,144.86549999999914,165.0529999999996,333.3785342960855,256,1001.2667746238395,1044.6672009888193,1588.1943403681244,1720.4877548698998,1231.4093608260346,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,19751.035026176512,325935,7.481429087623145,0.5016403665211242,3.752986829617074,32522,32266,0.32300000000023393,0.32300000000032014,0.32300000000032014,0.32300000000032014,1626.9669789915006,51,1613.3077689128122,25,0,1,1767.4524426028784,1963.2879719184668,15.214492221898402,16,1970.7707399368358,32522,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,fcfs,fcfs,fcfs,256,937.53885274881,983.5257094747551,1513.4236643679587,1684.3764814099352,0.3230000000000004,serial,21706.292657773643,358201,3.13.15,mixed,15.513108339703276,256,SIMULATED,031817345921f27d0ea9635cf7eff8d8a5f642c5ec11afda86bb68f1614c3bf4,101,0.9886181563110213,103,1491.5470380398658,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,122,21721.805766113346,256,0.3230000000002406,0.32300000000032014,0.32300000000032014,0.32300000000032014,0,256,960.5561574363101,999.702393892393,1557.9137568550486,1705.0322048698847,0,0.9344741799843054,16502.17315538303,fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d
fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d,poisson,16168.794621086943,1,0.18515810962946705,14559.351999999999,0,,analytical,synthetic,2026-09-09T03:26:14.726268+00:00,256,9.466706932248492e-12,3.055333763768431e-12,4.0454750660501304e-11,8.370122372980387e-11,256,312.6815078125049,164.1174999999912,1317.5777500000245,1757.9391000000332,256,312.68150781250046,164.1175000000003,1317.577750000002,1757.9391000000105,97.98600000009174,256,365.5014952702535,206.9603657357029,1341.5571162587473,1893.8158074126893,184.06298120372875,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,20036.847338893986,325935,4.700248049029495,1.4582684294871793,6.854223340658421,9984,32266,2.480830161780241,1.5279999999997926,4.38799999999992,27.375,177.03907683966645,51,264.74436029271124,6,0,19,254.7800700029875,1993.6551088329063,15.771119986114195,16,1999.2892728780594,32522,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,mono,continuous_batching,fcfs,256,28.528733551498586,0.9863954930169712,159.11490836327005,198.35979478359977,0.3230000000000004,decode_first,22020.399017102074,358201,3.13.15,mixed,15.73759466997058,256,SIMULATED,2d0be9abe0c9960c2b93c76feb46c8b786cde52b7e6ed44a2e273eb99df5adec,101,0.8950358610680682,103,125.61027227174216,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,0,22036.136611772046,256,2.8801215768289343,2.0819317255434147,8.079694930070197,13.139418926974649,0,256,52.819987457748596,20.15049097031533,182.85931637281266,264.6193269239466,0,0.9978565260315833,16266.780621087035,fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d
fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d,poisson,16168.794621086943,1,0.1580023437514986,14597.004,128,,analytical,synthetic,2026-09-09T03:26:14.964584+00:00,256,1.0120864216145442e-11,2.7853275241795927e-12,4.5289993977348786e-11,7.308926797122684e-11,256,255.16343750000684,122.69999999999754,1052.826749999981,1509.0228000000234,256,255.1634375000001,122.69999999999996,1052.8267500000038,1509.022799999998,98.18600000009246,256,352.68857554617637,226.92257202472342,1182.7698989077237,1764.5259592759257,292.45393093627575,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,20036.600988968257,325935,0.9547202507055874,1.2969350510884052,1.238210157123986,11255,32266,2.0244790181615864,1.787000000000262,4.903999999999996,5.475999999999658,441.2749726222114,51,408.9688222344439,8,0,15,561.5170700030685,1993.6551088329063,15.771119986114195,16,1999.2646919269969,32522,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,chunk_128,chunked_prefill,fcfs,256,64.39347007741816,1.7819813016840271,278.67767173396123,450.3447759709326,0.3230000000000004,decode_first,22020.128279716566,358201,3.13.15,mixed,15.737401178688616,256,SIMULATED,6feec8fdb8a153d9fa8b5461f572acaf9d500387bdbcdfc304d3cd21ae39c7cb,101,0.8973394841989158,103,249.6335666679584,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,0,22035.865680895255,256,2.0877483372247765,1.9411234374998911,4.592707207207161,4.95292246376804,0,256,97.52513804616954,46.86023416067201,362.44452264418646,489.2253822700765,0,0.9928441854200898,16266.980621087036,fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d
fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d,poisson,16168.794621086943,1,0.17859003007352878,14564.636,512,,analytical,synthetic,2026-09-09T03:26:15.230271+00:00,256,1.0749042281266163e-11,3.2880365097298636e-12,4.524736141320318e-11,8.92036666755302e-11,256,298.5126796875066,143.31500000003007,1149.6712499999865,1716.2085500000408,256,298.51267968750034,143.31499999999951,1149.6712500000033,1716.2085500000082,97.98600000009174,256,360.78987417651655,212.2660884669674,1272.3799479099557,1884.7074903782132,216.43083693343058,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,20036.847338893986,325935,1.663644785991406,1.4198319360499123,2.3620959973935203,10258,32266,2.3684139961569977,1.5280000000002474,11.002999999999702,12.683000000000902,244.35762123969667,51,280.4303602927157,6,0,18,348.73007000303187,1993.6551088329063,15.771119986114195,16,1999.2892728780594,32522,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,chunk_512,chunked_prefill,fcfs,256,35.65252652025946,0.993787953753781,183.576169843279,260.23940881009753,0.3230000000000004,decode_first,22020.399017102074,358201,3.13.15,mixed,15.73759466997058,256,SIMULATED,cef2682ee6adb59f666481584d508465d12f1928e952cb1d265426b91d11706c,101,0.8953606948580531,103,150.8213315141759,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,0,22036.136611772046,256,2.6230151094082483,2.050084374999801,7.732875240384637,10.756760000000234,0,256,62.27719448900994,23.748991224692872,219.75885955396495,307.9913728245744,0,0.9969460906587326,16266.780621087035,fcc991375ca83a975c2acb9d584b9930190ced917e8cbe4fd60f7294f78c8b2d
eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869,poisson,14298.00850861414,47,0.03125,17980.424,0,,analytical,synthetic,2026-09-09T03:26:15.475403+00:00,256,3.577403130672341e-11,1.9831247755064396e-11,1.3171330692784977e-10,1.6399326341343112e-10,256,44.213148437533896,28.908500000028653,138.89000000013766,165.0530000001636,256,44.2131484374999,28.90850000000003,138.889999999999,165.0529999999996,3682.415491394546,256,1859.4726944775612,1927.0440045190421,3502.85572966948,3653.88595080586,2210.4773776374245,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,20504.577645100133,368681,7.769803587379848,0.509389313842144,3.95785491806365,35298,35042,0.32300000000024764,0.32300000000032014,0.32300000000032014,0.32300000000032014,3530.88159855598,58,3457.5512677863603,47,0,1,3661.0354913945303,1973.4916217877521,14.617420312352134,16,1963.1350183946133,35298,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,fcfs,fcfs,fcfs,256,1789.2366632275273,1860.5043333735302,3436.3825268613364,3599.7528926159553,0.3230000000000075,serial,22453.474956975708,403723,3.13.15,mixed,14.237706519038502,256,SIMULATED,f9a4068a1115347be57b91881633a4aad9fd556ee92365721e99990c777aa7f8,202,0.9999999999995168,94,3440.7998124274077,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,196,22467.712663494745,256,0.32300000000023626,0.32300000000032014,0.32300000000032014,0.32300000000032014,0,256,1815.2595460400273,1883.3609635312946,3469.1248860306373,3637.5968249535063,0,0.8397006198441224,17980.424000008687,eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869
eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869,poisson,14298.00850861414,59,0.8002467676446775,17271.384,0,,analytical,synthetic,2026-09-09T03:26:16.029410+00:00,256,6.0891292008591336e-12,0.0,3.518607627484016e-11,6.677964847767719e-11,256,1694.353664062489,1045.7040000000097,5646.469249999892,7676.948799999976,256,1694.3536640625027,1045.7039999999997,5646.46925000002,7676.948800000067,2984.9307951846313,256,2107.9411806660005,1597.6441229928253,5852.393017836996,7916.975039531945,261.53361719146847,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,21332.07746201853,368681,2.2626539326034307,7.000966355897851,15.840764057196582,2467,35042,12.378133040351498,10.211999999999534,32.41100000000006,119.60299999999916,1694.8413651024832,58,1588.0457197873284,29,0,32,1760.3364705542372,1912.7838666149212,13.77814259106876,16,2042.3609305994341,35298,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,mono,continuous_batching,fcfs,256,380.27002832226145,122.45730430410813,1593.4699376209383,1729.9502545964615,148.24299999999994,decode_first,23359.626097353826,403723,3.13.15,mixed,14.812295264135507,256,SIMULATED,62c2a81d2d7d6f1b080bbba439019ff65eed05053f2ba3d29bf027f6fe3bd300,202,0.9993314040166632,94,1566.935574917452,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,44,23374.43839261796,256,12.625438866294632,14.208929677895139,18.736564965694505,24.208945454545535,0,256,413.5875166035114,161.27823706709387,1637.903247537844,1756.9407826184436,0,0.9335058411403103,17282.939303798772,eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869
eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869,poisson,14298.00850861414,33,0.34795918472439,15899.568,128,,analytical,synthetic,2026-09-09T03:26:16.152330+00:00,256,1.780461889033802e-11,6.579625733138528e-12,7.332801033044234e-11,9.694076652522198e-11,256,635.7273593750166,422.2289999999971,2006.1010000000779,2813.4110000000305,256,635.7273593749998,422.2290000000003,2006.100999999996,2813.4109999999937,1610.0547951850585,256,1112.8046220723684,987.9696226635156,2606.844979212847,3259.671196689031,910.1890028596852,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,23175.7312602566,368681,0.5397714813122049,3.654233049873592,1.9724507863902851,4351,35042,4.6443183608242755,4.904000000000451,6.692000000000007,7.011000000000422,1148.0834768231823,58,1094.273237181214,24,0,20,1142.4157951850248,2162.1192896461907,15.596577653849408,16,2218.8747508673828,35298,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,chunk_128,chunked_prefill,fcfs,256,421.25453222860045,386.41368519116395,977.2492594900532,1125.1980165710088,4.091000000000008,decode_first,25378.51354310251,403723,3.13.15,mixed,16.09246802147572,256,SIMULATED,f45a29c6744cb444ddae14c6fc7b1f4adfc2e107a9cb315e923cb7327d7a2ea4,202,0.9994659749815572,94,959.7943088434444,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,10,25394.606011123982,256,4.725086356153951,5.019868232224536,6.271965719063558,6.629715687766379,0,256,477.07726269735167,451.06659014313504,1032.0288754953733,1163.6771135211702,0,0.9483785967202722,15908.0633037992,eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869
eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869,poisson,14298.00850861414,57,0.7537164237038156,17107.827999999998,512,,analytical,synthetic,2026-09-09T03:26:16.317136+00:00,256,3.46109252369331e-12,0.0,1.8246737454319373e-11,5.359197530196973e-11,256,1563.5118749999917,997.2304999999869,5249.038749999991,7083.669099999967,256,1563.5118750000006,997.2305000000018,5249.038750000011,7083.669100000017,2820.3667951846473,256,1973.0838056660077,1496.3644101372715,5434.0657748801295,7463.906652876769,407.5576868686938,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,21537.149025946692,368681,1.0042199283100426,6.527214040442578,6.554758415757549,2621,35042,11.422265852405625,10.212000000000444,19.019000000000233,19.019000000000233,1565.0406735647668,58,1528.681638178795,28,0,32,1654.765795184574,1937.6124992028879,13.918022211282656,16,2061.9947497100916,35298,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,chunk_512,chunked_prefill,fcfs,256,361.2774384785161,135.29231109392845,1468.0656414769014,1567.8268157279965,11.816000000000031,decode_first,23584.18908542148,403723,3.13.15,mixed,14.954690235304648,256,SIMULATED,4b7cbab4b690dd1bc4b59adc0fa5cf4d52cb9e35aa351056365e26c8c5733647,202,0.9993838606987165,94,1479.3940248370436,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,38,23599.143775656783,256,11.38299141843666,12.975126265822485,15.511483231707203,16.427602325581276,0,256,409.5719306660159,201.22343865814537,1531.678586260175,1602.2255416752166,0,0.9400945705295662,17118.375303798788,eda3c8b5ba2ad16da31daeb46ce14fe8bef6825d58b44d5e36c4e1365abab869
f610910721834a4c4e544b0bd185e343720dc255551c8765fff65cf71a1f8b20,poisson,14055.702183607167,49,0.03125,17091.504,0,,analytical,synthetic,2026-09-09T03:26:16.446243+00:00,256,3.123464507870377e-11,1.759303813742008e-11,1.3296386214278755e-10,1.6399326341343112e-10,256,38.68177343752956,28.262500000028012,132.99525000013182,165.0530000001636,256,38.68177343749994,28.262500000000028,132.99524999999886,165.0529999999996,3155.9628411162103,256,2394.7230443802296,2811.620817762163,3440.4285626855512,3689.270548781883,3522.990107268578,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,23121.818803024027,397965,8.270441357651963,0.5528726143494856,4.572500535229151,30914,30658,0.3230000000002468,0.32300000000032014,0.32300000000032014,0.32300000000032014,3217.781331763683,60,3524.2223069645916,60,0,1,3671.8866520644206,1839.893849640687,14.727119093446587,16,1796.107462909263,30914,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,fcfs,fcfs,fcfs,256,2327.9593568802,2746.5148223245137,3382.195280137825,3530.2596070391774,0.3230000000000004,serial,24903.052632288185,428623,3.13.15,mixed,14.87363364510485,256,SIMULATED,91291ad553e3c59e35926d45a057e30e97d681d4b3b836de4f239246f03bd876,303,0.993018628671266,102,3347.1376771199903,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,208,24917.92626593329,256,0.3230000000002512,0.32300000000032014,0.32300000000032014,0.32300000000032014,0,256,2356.0412709427,2771.418120168115,3417.960177492388,3604.8194952256517,0,0.7930867774149849,17211.665024723377,f610910721834a4c4e544b0bd185e343720dc255551c8765fff65cf71a1f8b20
f610910721834a4c4e544b0bd185e343720dc255551c8765fff65cf71a1f8b20,poisson,14055.702183607167,59,0.8505912528445129,16602.14,0,,analytical,synthetic,2026-09-09T03:26:16.927935+00:00,256,6.10045347571031e-12,0.0,3.700506567838602e-11,5.547917680814862e-11,256,1728.9510312499872,1186.7739999999776,5831.247000000014,8231.873699999922,256,1728.9510312500029,1186.7739999999994,5831.247000000023,8231.87370000008,2709.892841108436,256,2813.308782658339,2476.501084008826,6823.006282616259,9496.862492257716,1951.5455670415286,E1,096b30fbb721a142dd81faa2c7359fbc3b2a4bf8,False,E1-608c400d1048,23737.004228798654,397965,2.2476699720830817,8.41893509127789,18.922987601581852,1972,30658,14.43706256115848,10.211999999999534,45.89300000000003,151.84400000000005,1706.1375782184894,60,1985.0442028410798,33,0,32,2110.876913679078,1733.8870503690182,14.01566406477767,16,1843.8951885946794,30914,Linux-6.17.0-1022-azure-x86_64-with-glibc2.39,mono,continuous_batching,fcfs,256,1048.104399845852,1262.6690332064072,1758.020493322076,2019.6867717723806,94.39099999999999,decode_first,25565.630051789394,428623,3.13.15,mixed,15.26936560394119,256,SIMULATED,0015a4593c4277d072840d849a8385861aa3d1bbdd7525721246f5454b96c592,303,0.990250568233657,102,1745.0072901992544,764eb8ee10ddbf170b6d022e2aa09a09c7a224f5976aca3a91a748e6f465777a,173,25580.899417393335,256,15.439917202920899,15.265325534696705,24.30626426282065,42.09027296511595,0,256,1084.357751408352,1303.5627572407875,1793.425034091996,2098.715873394431,0,0.8669606448643372,16765.595024715603,f610910721834a4c4e544b0bd185e343720dc255551c8765fff65cf71a1f8b20
